occ_code,title,observed_exposure,indonesia_usage_pct,n_tasks,quad
19-4099,"Life, Physical, and Social Science Technicians, All Other",0.0955,0.0,0,low_low
21-1012,"Educational, Guidance, and Career Counselors and Advisors",0.1182,0.6655574043261231,2,high_high
21-1021,"Child, Family, and School Social Workers",0.0074,0.0,0,low_low
21-1022,Healthcare Social Workers,0.0916,0.0,0,low_low
21-1091,Health Education Specialists,0.1376,0.0,0,high_low
21-2011,Clergy,0.1116,0.5879090404880754,3,high_high
21-2021,"Directors, Religious Activities and Education",0.153,0.0,0,high_low
23-1011,Lawyers,0.1673,0.0,0,high_low
23-1012,Judicial Law Clerks,0.1704,0.0,0,high_low
23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",0.3048,0.0,0,high_low
23-1022,"Arbitrators, Mediators, and Conciliators",0.2426,0.0,0,high_low
23-1023,"Judges, Magistrate Judges, and Magistrates",0.3109,0.0,0,high_low
23-2011,Paralegals and Legal Assistants,0.2927,0.0,0,high_low
23-2093,"Title Examiners, Abstractors, and Searchers",0.0216,0.0,0,low_low
25-1011,"Business Teachers, Postsecondary",0.3072,0.9262340543538544,6,high_high
25-1021,"Computer Science Teachers, Postsecondary",0.2414,0.1774819744869661,1,high_low
25-1022,"Mathematical Science Teachers, Postsecondary",0.4305,0.0,0,high_low
25-1032,"Engineering Teachers, Postsecondary",0.3589,0.0,0,high_low
25-1042,"Biological Science Teachers, Postsecondary",0.2914,4.120909595119246,1,high_high
25-1043,"Forestry and Conservation Science Teachers, Postsecondary",0.0206,0.0,0,low_low
25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",0.0396,0.0,0,low_low
25-1052,"Chemistry Teachers, Postsecondary",0.2185,0.1275651691625069,1,high_low
25-1053,"Environmental Science Teachers, Postsecondary",0.0232,0.0,0,low_low
25-1061,"Anthropology and Archeology Teachers, Postsecondary",0.0236,0.0831946755407653,1,low_low
25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",0.0,0.1663893510815306,2,low_low
25-1066,"Psychology Teachers, Postsecondary",0.3219,0.1830282861896838,1,high_low
25-1071,"Health Specialties Teachers, Postsecondary",0.3045,0.0,0,high_low
25-1072,"Nursing Instructors and Teachers, Postsecondary",0.1909,0.0,0,high_low
25-1081,"Education Teachers, Postsecondary",0.2621,0.0,0,high_low
25-1082,"Library Science Teachers, Postsecondary",0.018,0.0,0,low_low
25-1113,"Social Work Teachers, Postsecondary",0.0,0.2495840266222961,1,low_high
25-1121,"Art, Drama, and Music Teachers, Postsecondary",0.2142,0.0,0,high_low
25-1122,"Communications Teachers, Postsecondary",0.2111,0.0,0,high_low
25-1123,"English Language and Literature Teachers, Postsecondary",0.3618,0.2828618968386023,1,high_high
25-1124,"Foreign Language and Literature Teachers, Postsecondary",0.2403,0.6988352745424293,1,high_high
25-1125,"History Teachers, Postsecondary",0.0994,0.160843039378813,1,low_low
25-1126,"Philosophy and Religion Teachers, Postsecondary",0.2197,0.4048807542983915,1,high_high
25-1193,"Recreation and Fitness Studies Teachers, Postsecondary",0.1138,0.2662229617304492,1,high_high
25-1194,"Career/Technical Education Teachers, Postsecondary",0.1563,0.682196339434276,3,high_high
25-2021,"Elementary School Teachers, Except Special Education",0.103,0.1053799223516361,1,low_low
25-2022,"Middle School Teachers, Except Special and Career/Technical Education",0.2972,2.334997226844149,1,high_high
25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",0.2901,0.0,0,high_low
25-2032,"Career/Technical Education Teachers, Secondary School",0.0,0.3882418191902385,1,low_high
25-2051,"Special Education Teachers, Preschool",0.0058,0.088740987243483,1,low_low
25-2057,"Special Education Teachers, Middle School",0.134,0.0,0,high_low
25-2058,"Special Education Teachers, Secondary School",0.0989,0.0,0,low_low
25-2059,"Special Education Teachers, All Other",0.0257,0.0,0,low_low
25-3011,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",0.0636,1.0260676650027731,3,low_high
25-3021,Self-Enrichment Teachers,0.0662,0.3882418191902385,1,low_high
25-3041,Tutors,0.4077,0.0,0,high_low
25-4011,Archivists,0.1348,0.3383250138657793,1,high_high
25-4012,Curators,0.4123,0.0,0,high_low
25-4022,Librarians and Media Collections Specialists,0.2032,0.0,0,high_low
25-4031,Library Technicians,0.054,0.088740987243483,1,low_low
25-9031,Instructional Coordinators,0.3043,6.283971159179146,5,high_high
25-9044,"Teaching Assistants, Postsecondary",0.1002,0.0,0,low_low
27-1011,Art Directors,0.2098,0.0,0,high_low
