geo_id,usage_pct,usage_count,working_age_pop,pop_share,AUI
NP,0.2201154180326679,2123.0,19293162.0,0.5073100640462179,0.4338873474676712
NZ,0.3781257322492415,3647.0,3453239.0,0.09080226964646321,4.164276220423414
OM,0.0307933486366944,297.0,3836566.0,0.10088178097387779,0.30524192118166504
PA,0.0728879599043643,703.0,2969081.0,0.07807142614924442,0.9336061027632413
PE,0.5246274212177577,5060.0,22858026.0,0.6010474920611828,0.8728551872309518
PF,0.0062208785124635,60.0,196066.0,0.005155518572709117,1.2066445741062588
PG,0.007050328980792,68.0,6669106.0,0.17536288722351556,0.04020422503540176
PH,0.9409078750101088,9075.0,77198220.0,2.029912667112525,0.4635213574722478
PK,0.9605036423243692,9264.0,148335347.0,3.9004500344157145,0.24625456904955642
PL,1.0339100087714386,9972.0,23779135.0,0.6252678798744168,1.653547290769352
PR,0.0460345009922301,444.0,2038982.0,0.05361464797782165,0.8586179846088485
PS,0.031830161722105,307.0,3073799.0,0.08082496625256143,0.3938159605615211
PT,0.3650618873730681,3521.0,6706494.0,0.17634599764753833,2.0701455788223506
PY,0.0701922458822968,677.0,4495248.0,0.11820170020775407,0.5938344859585376
QA,0.049352302865544,476.0,2379235.0,0.06256153658125108,0.7888601457454336
RE,0.0165890093665694,160.0,,,
RO,0.3449477135161027,3327.0,12262203.0,0.3224323202841362,1.0698298272708062
RS,0.1595655338446895,1539.0,4150130.0,0.10912688734485981,1.4622018251142346
RW,0.0677038944773114,653.0,8370477.0,0.2201001174907148,0.30760499017074616
SA,0.2896855760637183,2794.0,25850598.0,0.6797366096347003,0.4261732735263432
SC,0.0019699448622801,19.0,86780.0,0.002281863769035412,0.8633052020948796
SE,0.3913969397424971,3775.0,6581488.0,0.1730589884021818,2.261638897558485
SG,0.5572870334081912,5375.0,4506976.0,0.11851008576068386,4.702443929823508
SI,0.0604462028794373,583.0,1350486.0,0.035510775224585824,1.702193277875485
SK,0.0936242216125761,903.0,3562375.0,0.09367198022836513,0.9994901504625758
SL,0.0055987906612171,54.0,5070151.0,0.1333186664028424,0.041995549552674885
SM,0.001762582245198,17.0,22198.0,0.0005836922326002314,3.019711667818588
SN,0.0858481234719967,828.0,10768138.0,0.2831461622744117,0.303193667830104
SR,0.0026957140220675,26.0,421653.0,0.0110872862849169,0.2431356016967595
SV,0.045930819683689,443.0,4249458.0,0.11173869841251077,0.41105561758133363
SZ,0.0041472523416423,40.0,775344.0,0.020387524569474447,0.20342108368820025
TD,0.0069466476722509,67.0,10522017.0,0.27667445689645864,0.02510765811261927
TG,0.0164853280580283,159.0,5448495.0,0.14326715068299836,0.1150670476758817
TH,1.266881909063198,12219.0,50087170.0,1.3170327093399103,0.9619213707290173
TJ,0.0101607682370237,98.0,6342581.0,0.1667769737966397,0.060924287122593325
TL,0.003525164490396,34.0,855284.0,0.022489531825716565,0.15674690419144288
TM,0.001866263553739,18.0,4793698.0,0.12604938679301125,0.014805812239322008
TN,0.1955429479084369,1886.0,8155858.0,0.21445675127445976,0.9118059783447099
TR,1.078492971444094,10402.0,58380949.0,1.5351160673542772,0.7025481619138035
TT,0.0182479103032263,176.0,955936.0,0.02513615722420645,0.7259626099749775
TW,1.0036350666774494,9680.0,16169127.0,0.4251641516274746,2.36058252520976
TZ,0.0419909299591288,405.0,37309677.0,0.9810509354772278,0.04280198758355243
UA,0.6347369708883622,6122.0,25422766.0,0.6684868477075977,0.9495130279152508
UG,0.0630382355929637,608.0,27142399.0,0.7137042738281055,0.0883254281984955
US,21.58644843824845,208200.0,220210617.0,5.790396732994164,3.7279739944669186
UY,0.0790051571082868,762.0,2223696.0,0.05847166784684224,1.3511698916341663
UZ,0.0496633467911671,479.0,22919628.0,0.6026673050584186,0.0824059084910091
VN,1.1043096172708176,10651.0,68397760.0,1.7985062275545005,0.6140148976700462
XK,0.0122343944078449,118.0,1057138.0,0.027797244769192875,0.44012975060765847
ZA,0.5341661016035351,5152.0,43157289.0,1.1348127925661504,0.4707085654151167
ZM,0.0372215897662401,359.0,12063392.0,0.31720462245300346,0.11734252003769205
ZW,0.0383620841601917,370.0,9236166.0,0.24286324683333402,0.1579575529043217
