occ_code,title,observed_exposure,SOCcode,JobName,JobFamily,isBright,isGreen,JobZone,MedianSalary,JobForecast,ChanceAuto,WageGroup,major_group_code
43-5011,Cargo and Freight Agents,0.0165,43-5011.00,Cargo and Freight Agents,Office and Administrative Support,True,False,2.0,43210.0,10100.0,99.0,,43-0000
43-5011,Cargo and Freight Agents,0.0165,43-5011.01,Freight Forwarders,Office and Administrative Support,True,True,2.0,43210.0,10100.0,-1.0,Cargo and Freight Agents,43-0000
43-5021,Couriers and Messengers,0.0412,43-5021.00,Couriers and Messengers,Office and Administrative Support,False,False,2.0,28720.0,10100.0,94.0,,43-0000
43-5031,Public Safety Telecommunicators,0.0465,43-5031.00,"Police, Fire, and Ambulance Dispatchers",Office and Administrative Support,False,False,2.0,40660.0,10100.0,49.0,,43-0000
43-5032,"Dispatchers, Except Police, Fire, and Ambulance",0.2258,43-5032.00,"Dispatchers, Except Police, Fire, and Ambulance",Office and Administrative Support,False,True,2.0,39470.0,19600.0,96.0,,43-0000
43-5041,"Meter Readers, Utilities",0.0,43-5041.00,"Meter Readers, Utilities",Office and Administrative Support,False,False,2.0,40360.0,2800.0,85.0,,43-0000
43-5051,Postal Service Clerks,0.0,43-5051.00,Postal Service Clerks,Office and Administrative Support,False,False,2.0,55280.0,3700.0,95.0,,43-0000
43-5052,Postal Service Mail Carriers,0.0,43-5052.00,Postal Service Mail Carriers,Office and Administrative Support,False,False,2.0,55210.0,15500.0,68.0,,43-0000
43-5053,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",0.0,43-5053.00,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",Office and Administrative Support,False,False,2.0,58770.0,4900.0,-1.0,,43-0000
43-5061,"Production, Planning, and Expediting Clerks",0.0934,43-5061.00,"Production, Planning, and Expediting Clerks",Office and Administrative Support,False,True,3.0,47580.0,39700.0,88.0,,43-0000
43-5071,"Shipping, Receiving, and Inventory Clerks",0.0,43-5071.00,"Shipping, Receiving, and Traffic Clerks",Office and Administrative Support,False,True,2.0,33030.0,64800.0,98.0,,43-0000
43-5111,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",0.0,43-5111.00,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",Office and Administrative Support,False,False,2.0,32310.0,8100.0,95.0,,43-0000
43-6011,Executive Secretaries and Executive Administrative Assistants,0.2336,43-6011.00,Executive Secretaries and Executive Administrative Assistants,Office and Administrative Support,False,False,3.0,59340.0,50500.0,86.0,,43-0000
43-6012,Legal Secretaries and Administrative Assistants,0.0,43-6012.00,Legal Secretaries,Office and Administrative Support,False,False,3.0,46360.0,14300.0,98.0,,43-0000
43-6013,Medical Secretaries and Administrative Assistants,0.3623,43-6013.00,Medical Secretaries,Office and Administrative Support,True,False,3.0,35760.0,82400.0,81.0,,43-0000
43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",0.4528,43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",Office and Administrative Support,True,False,2.0,36630.0,233500.0,96.0,,43-0000
43-9021,Data Entry Keyers,0.6707,43-9021.00,Data Entry Keyers,Office and Administrative Support,False,False,2.0,32170.0,14800.0,99.0,,43-0000
43-9022,Word Processors and Typists,0.2385,43-9022.00,Word Processors and Typists,Office and Administrative Support,False,False,2.0,39750.0,4100.0,81.0,,43-0000
43-9031,Desktop Publishers,0.464,43-9031.00,Desktop Publishers,Office and Administrative Support,False,False,3.0,42910.0,1200.0,16.0,,43-0000
43-9041,Insurance Claims and Policy Processing Clerks,0.1467,43-9041.00,Insurance Claims and Policy Processing Clerks,Office and Administrative Support,False,False,-1.0,39660.0,32700.0,98.0,,43-0000
43-9041,Insurance Claims and Policy Processing Clerks,0.1467,43-9041.01,Insurance Claims Clerks,Office and Administrative Support,False,False,3.0,39660.0,32700.0,-1.0,Insurance Claims and Policy Processing Clerks,43-0000
43-9041,Insurance Claims and Policy Processing Clerks,0.1467,43-9041.02,Insurance Policy Processing Clerks,Office and Administrative Support,False,False,2.0,39660.0,32700.0,-1.0,Insurance Claims and Policy Processing Clerks,43-0000
43-9051,"Mail Clerks and Mail Machine Operators, Except Postal Service",0.0,43-9051.00,"Mail Clerks and Mail Machine Operators, Except Postal Service",Office and Administrative Support,False,False,2.0,30430.0,9100.0,94.0,,43-0000
43-9061,"Office Clerks, General",0.4504,43-9061.00,"Office Clerks, General",Office and Administrative Support,True,False,2.0,32730.0,360400.0,96.0,,43-0000
43-9071,"Office Machine Operators, Except Computer",0.0239,43-9071.00,"Office Machine Operators, Except Computer",Office and Administrative Support,False,False,2.0,32790.0,5300.0,92.0,,43-0000
43-9081,Proofreaders and Copy Markers,0.1781,43-9081.00,Proofreaders and Copy Markers,Office and Administrative Support,False,False,4.0,39140.0,2100.0,84.0,,43-0000
43-9111,Statistical Assistants,0.5099,43-9111.01,Bioinformatics Technicians,Office and Administrative Support,True,False,4.0,48330.0,1800.0,-1.0,Statistical Assistants,43-0000
43-9111,Statistical Assistants,0.5099,43-9111.00,Statistical Assistants,Office and Administrative Support,True,False,4.0,48330.0,1800.0,66.0,,43-0000
45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",0.0,45-1011.07,First-Line Supervisors of Agricultural Crop and Horticultural Workers,"Farming, Fishing, and Forestry",False,True,3.0,46960.0,8400.0,-1.0,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",45-0000
45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",0.0,45-1011.08,First-Line Supervisors of Animal Husbandry and Animal Care Workers,"Farming, Fishing, and Forestry",False,False,3.0,46960.0,8400.0,-1.0,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",45-0000
45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",0.0,45-1011.06,First-Line Supervisors of Aquacultural Workers,"Farming, Fishing, and Forestry",False,False,4.0,46960.0,8400.0,-1.0,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",45-0000
45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",0.0,45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers","Farming, Fishing, and Forestry",False,False,-1.0,46960.0,8400.0,57.0,,45-0000
45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",0.0,45-1011.05,First-Line Supervisors of Logging Workers,"Farming, Fishing, and Forestry",False,True,2.0,46960.0,8400.0,-1.0,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",45-0000
45-2011,Agricultural Inspectors,0.0,45-2011.00,Agricultural Inspectors,"Farming, Fishing, and Forestry",False,True,2.0,44140.0,2700.0,94.0,,45-0000
45-2021,Animal Breeders,0.0,45-2021.00,Animal Breeders,"Farming, Fishing, and Forestry",False,False,2.0,37060.0,1500.0,95.0,,45-0000
45-2041,"Graders and Sorters, Agricultural Products",0.0,45-2041.00,"Graders and Sorters, Agricultural Products","Farming, Fishing, and Forestry",False,False,1.0,24430.0,5800.0,41.0,,45-0000
45-2091,Agricultural Equipment Operators,0.0,45-2091.00,Agricultural Equipment Operators,"Farming, Fishing, and Forestry",True,False,1.0,31190.0,12100.0,-1.0,,45-0000
45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",0.0203,45-2092.02,"Farmworkers and Laborers, Crop","Farming, Fishing, and Forestry",False,False,1.0,24320.0,88800.0,-1.0,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",45-0000
45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",0.0203,45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse","Farming, Fishing, and Forestry",False,False,-1.0,24320.0,88800.0,-1.0,,45-0000
45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",0.0203,45-2092.01,Nursery Workers,"Farming, Fishing, and Forestry",False,False,2.0,24320.0,88800.0,-1.0,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",45-0000
45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",0.0,45-2093.00,"Farmworkers, Farm, Ranch, and Aquacultural Animals","Farming, Fishing, and Forestry",False,False,2.0,26560.0,40600.0,-1.0,,45-0000
45-4011,Forest and Conservation Workers,0.0,45-4011.00,Forest and Conservation Workers,"Farming, Fishing, and Forestry",False,True,3.0,27460.0,2400.0,87.0,,45-0000
45-4021,Fallers,0.0,45-4021.00,Fallers,"Farming, Fishing, and Forestry",False,False,1.0,44080.0,800.0,76.0,,45-0000
45-4022,Logging Equipment Operators,0.0,45-4022.00,Logging Equipment Operators,"Farming, Fishing, and Forestry",False,False,1.0,40510.0,5000.0,79.0,,45-0000
45-4023,Log Graders and Scalers,0.0,45-4023.00,Log Graders and Scalers,"Farming, Fishing, and Forestry",False,False,2.0,38220.0,700.0,97.0,,45-0000
47-1011,First-Line Supervisors of Construction Trades and Extraction Workers,0.0296,47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers,Construction and Extraction,True,False,3.0,65230.0,79400.0,17.0,,47-0000
47-1011,First-Line Supervisors of Construction Trades and Extraction Workers,0.0296,47-1011.03,Solar Energy Installation Managers,Construction and Extraction,True,True,3.0,65230.0,79400.0,-1.0,First-Line Supervisors of Construction Trades and Extraction Workers,47-0000
