occ_code,indonesia_usage_pct,n_tasks_seen,title,observed_exposure
27-1013,0.1774819744869661,1,"Fine Artists, Including Painters, Sculptors, and Illustrators",0.3565
11-1011,0.1663893510815307,1,Chief Executives,0.0333
25-1062,0.1663893510815306,2,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",0.0
25-1125,0.160843039378813,1,"History Teachers, Postsecondary",0.0994
41-4011,0.160843039378813,1,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",0.2706
51-7032,0.1552967276760954,1,"Patternmakers, Wood",0.0301
17-3029,0.1552967276760954,1,"Engineering Technologists and Technicians, Except Drafters, All Other",0.0
51-9061,0.14420410427066,1,"Inspectors, Testers, Sorters, Samplers, and Weighers",0.0324
15-2021,0.14420410427066,1,Mathematicians,0.4241
15-1151,0.14420410427066,1,,
19-4021,0.1386577925679423,1,Biological Technicians,0.0599
43-4021,0.1331114808652246,1,Correspondence Clerks,0.2786
25-1052,0.1275651691625069,1,"Chemistry Teachers, Postsecondary",0.2185
17-3022,0.1220188574597892,1,Civil Engineering Technologists and Technicians,0.0776
19-1021,0.1220188574597892,1,Biochemists and Biophysicists,0.0756
27-1012,0.1164725457570715,1,Craft Artists,0.0539
49-2011,0.1164725457570715,1,"Computer, Automated Teller, and Office Machine Repairers",0.1067
43-3031,0.1164725457570715,1,"Bookkeeping, Accounting, and Auditing Clerks",0.3104
43-4121,0.1053799223516361,1,"Library Assistants, Clerical",0.0978
25-2021,0.1053799223516361,1,"Elementary School Teachers, Except Special Education",0.103
15-2011,0.0998336106489184,1,Actuaries,0.0539
35-9031,0.0998336106489184,1,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",0.0734
19-1020,0.0998336106489184,1,,
27-3021,0.0998336106489184,1,,
39-9011,0.0942872989462007,1,Childcare Workers,0.0122
19-2042,0.0942872989462007,1,"Geoscientists, Except Hydrologists and Geographers",0.043
13-2071,0.0942872989462007,1,Credit Counselors,0.2341
51-6052,0.0942872989462007,1,"Tailors, Dressmakers, and Custom Sewers",0.0342
19-1023,0.088740987243483,1,Zoologists and Wildlife Biologists,0.0606
19-3022,0.088740987243483,1,Survey Researchers,0.4316
27-1024,0.088740987243483,1,Graphic Designers,0.3672
11-9032,0.088740987243483,1,"Education Administrators, Kindergarten through Secondary",0.0525
25-4031,0.088740987243483,1,Library Technicians,0.054
25-2051,0.088740987243483,1,"Special Education Teachers, Preschool",0.0058
29-1051,0.0831946755407653,1,Pharmacists,0.0896
25-1061,0.0831946755407653,1,"Anthropology and Archeology Teachers, Postsecondary",0.0236
11-9039,0.0831946755407653,1,,
